id,7
¾È³ç,3
1,2
gywjd,0
1,3
as,2
asdiii,0
johjkbnkjhk,0
sdfasf,2
sdfasdffgg,1
asdfsadf,0
ikjn,1
3fgfg,0
srtdfghjk,0
ghjklnnjh,0
grgreg,0
rthfgh,1
afgdfg,4
1,0
1,0
1,0
aasdffffd,0
ffff,1
zbbb,0
vbbbb,2
fvvvvv,1
vvvv,1
fvv,2
dfasdfas,2
¤·¤©¤¤¤·¤°¤¤¤·¤°,0
¤«¤¤¤±¤©,1
¤«¤¤¤·¤©,0
¤©¤©¤·¤¾¤·¤¤¤°¤¤¤©¤·,0
¤¤¤°¤·¤°,0
dfasdf,0
asdfasdf,1
sdfasdf,1
sdfasdf,0
sdfs,1
sdf,0
cvxcvcx,1
dfsdfsd,1
dfd,0
ddddd,0
sdfsdf,0
dfsdf,0
sdasdad,3
1,1
dfff,0
dddd,1
dddddd,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,0
sdfsd,1
adsfgf,2
asdf,1
1,0
fgfdssfdg,4
asdfasd,2
adfgfd,0
erfgdbgf,0
asdfasdf,1
dfg,1
asdfasd,1
sdfghj,1
sfdgh,2
dfghjkjghfg,0
asdfghjhg,2
sdfghjhgj,0
jjjfjfjfjf,4
hhhhh,0
jgjgjjg,3
dsfsadfsd,2
jhghjhg,2
sdfghjkl,0
hhh,0
kkkgkgk,1
jjfjfjjf,0
sdfasdfsd,1
gdfgdf,2
jdjdjjd,2
ghgfdsdfgh,0
jfjfjf,1
1,0
sdfghjk,1
kkk,0
alswl WKd,0
hhh,12
¾ç±¤¸ð,3
¤¤¤·¤©È£¤Ã,14
¤·¤©¤·¤©,1
